# Anon-Sec-Net v2 Figure 4 Monte Carlo summary
# f: malicious node fraction
# asn_theory: f^6 (theoretical ASN de-anon probability)
# tor_theory: f^3 (theoretical Tor-equivalent de-anon probability)
# asn_mc / tor_mc: Monte Carlo de-anon rate
# asn_mc_ci95 / tor_mc_ci95: Wilson score CI half-width at 95%
f,asn_theory,tor_theory,asn_mc,asn_mc_ci95,tor_mc,tor_mc_ci95,n_sessions
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.91999188e-04,0.00000000e+00,1.91999188e-04,10000
5.00000000e-02,1.56250000e-08,1.25000000e-04,0.00000000e+00,1.91999188e-04,1.00000000e-04,2.74308115e-04,10000
1.00000000e-01,1.00000000e-06,1.00000000e-03,0.00000000e+00,1.91999188e-04,1.10000000e-03,6.77226139e-04,10000
1.50000000e-01,1.13906250e-05,3.37500000e-03,0.00000000e+00,1.91999188e-04,4.00000000e-03,1.25144946e-03,10000
2.00000000e-01,6.40000000e-05,8.00000000e-03,2.00000000e-04,3.37073462e-04,7.90000000e-03,1.74508734e-03,10000
2.50000000e-01,2.44140625e-04,1.56250000e-02,3.00000000e-04,3.89851790e-04,1.47000000e-02,2.36569776e-03,10000
3.00000000e-01,7.29000000e-04,2.70000000e-02,7.00000000e-04,5.52604060e-04,2.70000000e-02,3.18135368e-03,10000
3.50000000e-01,1.83826562e-03,4.28750000e-02,1.20000000e-03,7.04934074e-04,4.03000000e-02,3.85780344e-03,10000
4.00000000e-01,4.09600000e-03,6.40000000e-02,5.30000000e-03,1.43544112e-03,6.24000000e-02,4.74284069e-03,10000
4.50000000e-01,8.30376563e-03,9.11250000e-02,1.07000000e-02,2.02487567e-03,9.27000000e-02,5.68518266e-03,10000
5.00000000e-01,1.56250000e-02,1.25000000e-01,1.57000000e-02,2.44309389e-03,1.23100000e-01,6.43989014e-03,10000
5.50000000e-01,2.76806406e-02,1.66375000e-01,2.86000000e-02,3.27124217e-03,1.71100000e-01,7.38081568e-03,10000
6.00000000e-01,4.66560000e-02,2.16000000e-01,4.75000000e-02,4.17177646e-03,2.09000000e-01,7.96835706e-03,10000
6.50000000e-01,7.54188906e-02,2.74625000e-01,7.25000000e-02,5.08413603e-03,2.79800000e-01,8.79701173e-03,10000
7.00000000e-01,1.17649000e-01,3.43000000e-01,1.12800000e-01,6.20090235e-03,3.47800000e-01,9.33315322e-03,10000
7.50000000e-01,1.77978516e-01,4.21875000e-01,1.75300000e-01,7.45185594e-03,4.21200000e-01,9.67554107e-03,10000
8.00000000e-01,2.62144000e-01,5.12000000e-01,2.59700000e-01,8.59269876e-03,5.05500000e-01,9.79734570e-03,10000
8.50000000e-01,3.77149516e-01,6.14125000e-01,3.75500000e-01,9.48945778e-03,6.13800000e-01,9.54088863e-03,10000
9.00000000e-01,5.31441000e-01,7.29000000e-01,5.37000000e-01,9.77108501e-03,7.28400000e-01,8.71638756e-03,10000
9.50000000e-01,7.35091891e-01,8.57375000e-01,7.32400000e-01,8.67570735e-03,8.59200000e-01,6.81713775e-03,10000
1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.91999188e-04,1.00000000e+00,1.91999188e-04,10000
