# Anon-Sec-Net v2 Figure 2: per-hop crypto latency
# Source: bench_figure2.exe (in-process, all variants)
# ASN: constant cost (fixed 1024-byte wire packet, max payload 499B)
# Tor: AES-256-GCM encrypt+decrypt, scales with payload
# nonanon: AES-256-GCM encrypt only
payload_bytes,protocol,n,mean_us,ci95_us,min_us,max_us,p50_us,p95_us
64,asn,5000,2.7526,0.0163,2.3000,20.6000,2.5000,5.3000
128,asn,5000,2.7041,0.0179,2.4000,20.5000,2.5000,5.3000
256,asn,5000,2.7561,0.0189,2.4000,149.5000,2.5000,5.3000
512,asn,5000,2.6210,0.0157,2.3000,63.0000,2.5000,5.2000
1024,asn,5000,2.6386,0.0153,2.4000,28.4000,2.5000,5.3000
2048,asn,5000,2.5769,0.0149,2.4000,28.6000,2.5000,5.3000
4096,asn,5000,2.6734,0.0156,2.4000,13.8000,2.5000,5.3000
8192,asn,5000,2.6403,0.0167,2.4000,46.1000,2.5000,5.2000
16384,asn,5000,2.9912,0.0303,2.4000,60.6000,2.5000,6.0000
32768,asn,5000,2.6151,0.0159,2.3000,191.7000,2.5000,5.2000
65536,asn,5000,2.6095,0.0164,2.3000,139.6000,2.5000,5.2000
64,tor,5000,0.6602,0.0019,0.6000,4.1000,0.7000,0.8000
128,tor,5000,0.6378,0.0014,0.6000,15.1000,0.6000,0.7000
256,tor,5000,0.6529,0.0014,0.6000,9.3000,0.7000,0.7000
512,tor,5000,0.7259,0.0012,0.6000,15.3000,0.7000,0.8000
1024,tor,5000,0.7775,0.0013,0.7000,3.7000,0.8000,0.8000
2048,tor,5000,0.8613,0.0014,0.8000,2.3000,0.9000,0.9000
4096,tor,5000,1.0193,0.0012,0.9000,6.4000,1.0000,1.1000
8192,tor,5000,1.3707,0.0018,1.3000,3.6000,1.4000,1.5000
16384,tor,5000,2.0210,0.0015,1.9000,34.2000,2.0000,2.2000
32768,tor,5000,3.3478,0.0024,3.2000,28.0000,3.3000,3.6000
65536,tor,5000,5.9826,0.0037,5.8000,22.8000,6.0000,6.4000
64,nonanon,5000,0.9598,0.0016,0.8000,18.5000,1.0000,1.1000
128,nonanon,5000,0.9252,0.0013,0.8000,16.4000,0.9000,1.0000
256,nonanon,5000,1.0169,0.0011,1.0000,5.9000,1.0000,1.1000
512,nonanon,5000,1.0342,0.0021,0.9000,41.6000,1.0000,1.2000
1024,nonanon,5000,1.0587,0.0016,1.0000,6.3000,1.1000,1.2000
2048,nonanon,5000,1.1391,0.0014,1.0000,6.7000,1.1000,1.2000
4096,nonanon,5000,1.3457,0.0056,1.2000,56.3000,1.3000,2.2000
8192,nonanon,5000,1.6347,0.0014,1.6000,8.2000,1.6000,1.7000
16384,nonanon,5000,2.3325,0.0018,2.2000,18.1000,2.3000,2.5000
32768,nonanon,5000,3.6774,0.0025,3.5000,146.9000,3.7000,4.0000
65536,nonanon,5000,6.3529,0.0095,6.2000,32.7000,6.3000,7.8000
