# Tor-equivalent Figure 2: per-hop crypto latency
# Source: tor_bench_fig2_perhop.c
# Tor: AES-256-CTR per-hop cell decryption (correct Tor relay model)
# Reference: Tor spec ss5.4.3 relay cell onion decryption
payload_bytes,protocol,n,mean_us,ci95_us,min_us,max_us,p50_us,p95_us
64,tor,5000,0.5137,0.0076,0.3000,9.3000,0.5000,0.7000
128,tor,5000,0.4365,0.0071,0.3000,3.7000,0.4000,0.5000
256,tor,5000,0.5335,0.0114,0.4000,15.8000,0.5000,0.7000
512,tor,5000,0.5534,0.0155,0.4000,16.3000,0.5000,0.8000
1024,tor,5000,0.5332,0.0070,0.4000,3.5000,0.5000,0.6000
2048,tor,5000,0.6409,0.0071,0.5000,3.5000,0.6000,0.7000
4096,tor,5000,0.8637,0.0135,0.8000,30.0000,0.8000,0.9000
8192,tor,5000,1.4698,0.2398,1.2000,612.4000,1.3000,1.4000
16384,tor,5000,2.1873,0.0078,2.1000,7.4000,2.2000,2.2000
32768,tor,5000,4.0785,0.0199,3.8000,36.0000,3.9000,4.4000
65536,tor,5000,7.8674,0.0402,7.3000,45.4000,7.4000,10.6000
64,nonanon_verify,5000,1.1078,0.0440,0.8000,106.6000,1.0000,1.3000
128,nonanon_verify,5000,0.9867,0.0195,0.8000,41.2000,0.9000,1.1000
256,nonanon_verify,5000,1.0024,0.0072,0.9000,4.4000,1.0000,1.0000
512,nonanon_verify,5000,1.0756,0.0077,1.0000,8.9000,1.1000,1.1000
1024,nonanon_verify,5000,1.1203,0.0116,0.9000,12.3000,1.1000,1.2000
2048,nonanon_verify,5000,1.1782,0.0072,1.1000,4.1000,1.2000,1.2000
4096,nonanon_verify,5000,1.5075,0.0206,1.3000,20.4000,1.3000,2.2000
8192,nonanon_verify,5000,1.6723,0.0086,1.5000,8.2000,1.6000,1.8000
16384,nonanon_verify,5000,2.3741,0.0180,2.2000,36.2000,2.3000,2.5000
32768,nonanon_verify,5000,3.7266,0.0146,3.5000,22.5000,3.6000,4.0000
65536,nonanon_verify,5000,6.3664,0.0211,6.1000,36.1000,6.3000,6.8000
