# Tor-equivalent Figure 4: Anonymity set Monte Carlo
# Source: tor_bench_fig4_anonymity.c
# tor_f2: entry-exit correlation attack (dominant real-world Tor threat)
# tor_f3: full-path compromise (all 3 hops malicious, used in spec Fig4)
# n_nodes=100, sessions=10000 per f-value
f,tor_f2_theory,tor_f3_theory,tor_f2_mc,tor_f2_mc_ci95,tor_f3_mc,tor_f3_mc_ci95,n_sessions
0.00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.92006239e-04,0.00000000e+00,1.92006239e-04,10000
0.01,1.00000000e-04,1.00000000e-06,0.00000000e+00,1.92006239e-04,0.00000000e+00,1.92006239e-04,10000
0.02,4.00000000e-04,8.00000000e-06,2.00000000e-04,3.37081657e-04,0.00000000e+00,1.92006239e-04,10000
0.03,9.00000000e-04,2.70000000e-05,8.00000000e-04,5.86270187e-04,0.00000000e+00,1.92006239e-04,10000
0.04,1.60000000e-03,6.40000000e-05,1.10000000e-03,6.77239568e-04,0.00000000e+00,1.92006239e-04,10000
0.05,2.50000000e-03,1.25000000e-04,1.50000000e-03,7.82176590e-04,0.00000000e+00,1.92006239e-04,10000
0.06,3.60000000e-03,2.16000000e-04,1.90000000e-03,8.74542261e-04,1.00000000e-04,2.74315618e-04,10000
0.07,4.90000000e-03,3.43000000e-04,3.60000000e-03,1.18903555e-03,2.00000000e-04,3.37081657e-04,10000
0.08,6.40000000e-03,5.12000000e-04,5.70000000e-03,1.48742233e-03,2.00000000e-04,3.37081657e-04,10000
0.09,8.10000000e-03,7.29000000e-04,8.10000000e-03,1.76663171e-03,4.00000000e-04,4.36292313e-04,10000
0.10,1.00000000e-02,1.00000000e-03,1.00000000e-02,1.95885937e-03,7.00000000e-04,5.52615427e-04,10000
0.11,1.21000000e-02,1.33100000e-03,1.12000000e-02,2.07074926e-03,6.00000000e-04,5.16766109e-04,10000
0.12,1.44000000e-02,1.72800000e-03,1.49000000e-02,2.38143511e-03,1.30000000e-03,7.31602474e-04,10000
0.13,1.69000000e-02,2.19700000e-03,1.51000000e-02,2.39701961e-03,1.50000000e-03,7.82176590e-04,10000
0.14,1.96000000e-02,2.74400000e-03,1.81000000e-02,2.61898169e-03,1.60000000e-03,8.06267772e-04,10000
0.15,2.25000000e-02,3.37500000e-03,2.11000000e-02,2.82232486e-03,3.40000000e-03,1.15653360e-03,10000
0.16,2.56000000e-02,4.09600000e-03,2.25000000e-02,2.91195768e-03,2.90000000e-03,1.07090925e-03,10000
0.17,2.89000000e-02,4.91300000e-03,2.63000000e-02,3.14117822e-03,3.60000000e-03,1.18903555e-03,10000
0.18,3.24000000e-02,5.83200000e-03,3.02000000e-02,3.35849513e-03,4.70000000e-03,1.35371798e-03,10000
0.19,3.61000000e-02,6.85900000e-03,3.55000000e-02,3.63046945e-03,5.60000000e-03,1.47460926e-03,10000
0.20,4.00000000e-02,8.00000000e-03,4.16000000e-02,3.91680348e-03,8.60000000e-03,1.81926217e-03,10000
0.21,4.41000000e-02,9.26100000e-03,4.13000000e-02,3.90329818e-03,8.40000000e-03,1.79840123e-03,10000
0.22,4.84000000e-02,1.06480000e-02,4.71000000e-02,4.15515806e-03,7.60000000e-03,1.71232837e-03,10000
0.23,5.29000000e-02,1.21670000e-02,4.88000000e-02,4.22555647e-03,1.32000000e-02,2.24432616e-03,10000
0.24,5.76000000e-02,1.38240000e-02,5.68000000e-02,4.53893803e-03,1.12000000e-02,2.07074926e-03,10000
0.25,6.25000000e-02,1.56250000e-02,6.66000000e-02,4.88872375e-03,1.70000000e-02,2.54000681e-03,10000
0.26,6.76000000e-02,1.75760000e-02,6.95000000e-02,4.98611279e-03,1.67000000e-02,2.51800635e-03,10000
